{'cq': '1', 'h2': 622, 'c2': 772, 'h3': 595, 'c3': 773, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824189, 'hq': '1', 't1': 249, 't3': 249, 'h1': 595, 'c1': 773}
{'cq': '1', 'h2': 621, 'c2': 771, 'h3': 596, 'c3': 774, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824205, 'hq': '1', 't1': 249, 't3': 249, 'h1': 596, 'c1': 774}
{'cq': '1', 'h2': 621, 'c2': 772, 'h3': 594, 'c3': 774, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824208, 'hq': '1', 't1': 249, 't3': 249, 'h1': 594, 'c1': 774}
{'cq': '1', 'h2': 621, 'c2': 771, 'h3': 593, 'c3': 774, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824211, 'hq': '1', 't1': 249, 't3': 249, 'h1': 593, 'c1': 774}
{'cq': '1', 'h2': 621, 'c2': 771, 'h3': 599, 'c3': 774, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824242, 'hq': '1', 't1': 249, 't3': 249, 'h1': 599, 'c1': 774}
{'cq': '1', 'h2': 621, 'c2': 771, 'h3': 603, 'c3': 774, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824245, 'hq': '1', 't1': 249, 't3': 249, 'h1': 603, 'c1': 774}
{'cq': '1', 'h2': 617, 'c2': 774, 'h3': 609, 'c3': 774, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824431, 'hq': '1', 't1': 249, 't3': 249, 'h1': 609, 'c1': 774}
{'cq': '1', 'h2': 617, 'c2': 773, 'h3': 609, 'c3': 774, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824434, 'hq': '1', 't1': 249, 't3': 249, 'h1': 609, 'c1': 774}
{'cq': '1', 'h2': 618, 'c2': 773, 'h3': 604, 'c3': 774, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824437, 'hq': '1', 't1': 249, 't3': 249, 'h1': 604, 'c1': 774}
{'cq': '1', 'h2': 618, 'c2': 772, 'h3': 588, 'c3': 775, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824560, 'hq': '1', 't1': 248, 't3': 248, 'h1': 588, 'c1': 775}
{'cq': '1', 'h2': 618, 'c2': 771, 'h3': 590, 'c3': 774, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824563, 'hq': '1', 't1': 248, 't3': 248, 'h1': 590, 'c1': 774}
{'cq': '1', 'h2': 617, 'c2': 773, 'h3': 592, 'c3': 772, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824627, 'hq': '1', 't1': 248, 't3': 248, 'h1': 592, 'c1': 772}
{'cq': '1', 'h2': 617, 'c2': 772, 'h3': 591, 'c3': 772, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824630, 'hq': '1', 't1': 249, 't3': 249, 'h1': 591, 'c1': 772}
{'cq': '1', 'h2': 617, 'c2': 772, 'h3': 592, 'c3': 771, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824633, 'hq': '1', 't1': 249, 't3': 249, 'h1': 592, 'c1': 771}
{'cq': '1', 'h2': 617, 'c2': 771, 'h3': 598, 'c3': 772, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824678, 'hq': '1', 't1': 248, 't3': 248, 'h1': 598, 'c1': 772}
{'cq': '1', 'h2': 617, 'c2': 770, 'h3': 601, 'c3': 772, 'tq': '1', 'wn': '0b0', 't2': 236, 'tm': 1562824681, 'hq': '1', 't1': 248, 't3': 248, 'h1': 601, 'c1': 772}
{'cq': '1', 'h2': 620, 'c2': 771, 'h3': 602, 'c3': 772, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824733, 'hq': '1', 't1': 248, 't3': 248, 'h1': 602, 'c1': 772}
{'cq': '1', 'h2': 620, 'c2': 771, 'h3': 599, 'c3': 772, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824736, 'hq': '1', 't1': 248, 't3': 248, 'h1': 599, 'c1': 772}
{'cq': '1', 'h2': 619, 'c2': 771, 'h3': 595, 'c3': 772, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824739, 'hq': '1', 't1': 248, 't3': 248, 'h1': 595, 'c1': 772}
{'cq': '1', 'h2': 619, 'c2': 771, 'h3': 612, 'c3': 769, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824758, 'hq': '1', 't1': 248, 't3': 248, 'h1': 612, 'c1': 769}
{'cq': '1', 'h2': 619, 'c2': 772, 'h3': 609, 'c3': 769, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824761, 'hq': '1', 't1': 248, 't3': 248, 'h1': 609, 'c1': 769}
{'cq': '1', 'h2': 618, 'c2': 771, 'h3': 607, 'c3': 768, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824805, 'hq': '1', 't1': 248, 't3': 248, 'h1': 607, 'c1': 768}
{'cq': '1', 'h2': 618, 'c2': 771, 'h3': 602, 'c3': 768, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824808, 'hq': '1', 't1': 248, 't3': 248, 'h1': 602, 'c1': 768}
{'cq': '1', 'h2': 618, 'c2': 770, 'h3': 601, 'c3': 769, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824811, 'hq': '1', 't1': 248, 't3': 248, 'h1': 601, 'c1': 769}
{'cq': '1', 'h2': 618, 'c2': 770, 'h3': 593, 'c3': 770, 'tq': '1', 'wn': '0b0', 't2': 235, 'tm': 1562824862, 'hq': '1', 't1': 248, 't3': 248, 'h1': 593, 'c1': 770}
